isbn,book_title,category,rental_price,status,author,publisher
978-0-292-77952-5,"Re-Engineered Static Protocol",Biography,9.56,no,"Angela Walter","Penguin Books"
978-0-306-30887-4,"Digitized Object-Oriented Workforce",Mystery,2.29,yes,"Caleb Buckley",Knopf
978-0-316-34906-1,"Centralized Homogeneous Task-Force",Romance,12,no,"Ryan Carter","Simon & Schuster"
978-0-320-52964-2,"Future-Proofed Dynamic Orchestration",Classic,9.11,yes,"Taylor Mullins",Scholastic
978-0-329-43081-9,"Proactive Dedicated Emulation",Thriller,11.43,yes,"April Johnson",Scholastic
978-0-335-37710-9,"User-Friendly Mission-Critical Access","Literary Fiction",4.71,yes,"David Lewis",Macmillan
978-0-344-65027-9,"Re-Engineered Bifurcated Archive","Literary Fiction",2.63,no,"Tara Green",Doubleday
978-0-346-84364-1,"Phased Grid-Enabled Artificial Intelligence",Classic,9.32,yes,"Jason Zamora",Knopf
978-0-348-95037-2,"Reverse-Engineered Foreground Data-Warehouse",Fiction,3.72,yes,"Cassandra Richardson",Macmillan
978-0-351-50703-7,"Synchronized Grid-Enabled Website","Literary Fiction",7.6,no,"Joseph Myers",Scholastic
978-0-383-95969-2,"Reactive Client-Server Moderator",Romance,10.66,yes,"Kristin Glass","Random House"
978-0-398-34780-1,"Re-Engineered Systemic Utilization",Fiction,10.72,yes,"Jerry Clark",Knopf
978-0-398-64238-6,"Mandatory 24Hour Internet Solution",Thriller,2.85,yes,"Christian Tapia",Doubleday
978-0-399-95119-6,"Decentralized Transitional Knowledgebase",History,11.8,yes,"Debbie Medina",Hachette
978-0-400-64596-8,"Switchable Optimal Groupware",Mystery,6.74,no,"Carrie Cortez",Vintage
978-0-405-70686-8,"Right-Sized Multi-State Solution",Fantasy,7.32,yes,"Adam Moore","Simon & Schuster"
978-0-407-39083-3,"Integrated Leadingedge Customer Loyalty",Dystopia,2.22,yes,"Derek Escobar",Knopf
978-0-426-44226-1,"Function-Based Object-Oriented Open Architecture",Classic,5.42,no,"Jeremy Macias","Random House"
978-0-438-20515-2,"Multi-Tiered Disintermediate Portal",Fiction,4.67,no,"Kari Lee",HarperCollins
978-0-441-27146-4,"Face-To-Face Fresh-Thinking Structure",Mystery,9.41,no,"Michael Taylor",Knopf
978-0-443-66272-4,"Focused Modular Budgetary Management","Science Fiction",2.64,yes,"Edgar Sanchez",Vintage
978-0-445-49722-4,"Progressive Object-Oriented Process Improvement",Children,10.43,yes,"Andrew Hopkins","Simon & Schuster"
978-0-447-17347-5,"User-Friendly 6Thgeneration Benchmark",Thriller,9.21,no,"Debra Ward",HarperCollins
978-0-451-24585-4,"Open-Architected Motivating Adapter","Literary Fiction",6.71,yes,"Adriana Figueroa","Simon & Schuster"
978-0-451-80127-0,"Synergized High-Level Complexity","Literary Fiction",6.54,no,"Fernando Wright",Doubleday
978-0-455-99694-5,"Multi-Layered Transitional Open Architecture",Dystopia,8.25,yes,"Tiffany Mcguire",Knopf
978-0-460-76497-1,"Managed Leadingedge Superstructure",Children,6.62,yes,"Yolanda Lopez MD","Penguin Books"
978-0-460-81567-5,"Customer-Focused Full-Range Solution",Self-Help,3.75,no,"Brittney Cisneros",Vintage
978-0-466-41186-9,"Stand-Alone Bifurcated Help-Desk",Dystopia,2.16,yes,"Caroline Marks","Penguin Books"
978-0-469-10500-6,"Persevering Transitional Policy",Classic,4.95,no,"Stephanie Rodriguez","Simon & Schuster"
978-0-477-53416-1,"Open-Architected Uniform Analyzer",Fantasy,7.84,yes,"Robert Gordon",Doubleday
978-0-500-44523-7,"Profound Bottom-Line Moratorium",Biography,11.71,yes,"Ricardo Lopez",Macmillan
978-0-511-90939-3,"Customizable Mission-Critical Array","Literary Fiction",5.57,yes,"John Randall","Penguin Books"
978-0-514-75459-2,"Multi-Layered User-Facing Open System","Literary Fiction",11.28,yes,"James Compton","Penguin Books"
978-0-520-57749-3,"Quality-Focused Dedicated Initiative","Literary Fiction",8.11,no,"Keith Bowman","Simon & Schuster"
978-0-521-22805-8,"Business-Focused Bottom-Line Focus Group",Classic,8.85,yes,"Thomas Morgan","Simon & Schuster"
978-0-522-28021-3,"Decentralized Foreground Collaboration",Classic,9.07,yes,"Sandra Palmer","Simon & Schuster"
978-0-535-79615-6,"Implemented Well-Modulated Parallelism","Literary Fiction",10.1,yes,"Kathy Curry",Vintage
978-0-538-46583-8,"Centralized Zero Tolerance Product",Children,3.3,yes,"Karen Underwood","Penguin Books"
978-0-570-53478-0,"Configurable Interactive Support",Classic,2.73,yes,"Christina Levy",Macmillan
978-0-570-60801-8,"Operative Static Application",Classic,2.04,yes,"Jamie Sanchez",Doubleday
978-0-593-25239-4,"Innovative Directional Solution",Classic,5.83,yes,"Mary Andrade","Simon & Schuster"
978-0-627-74314-7,"Decentralized Systemic Analyzer",Fantasy,6.04,yes,"John Lee",Knopf
978-0-629-35042-1,"Customizable Foreground Software",History,9.2,no,"Kyle Bennett",Knopf
978-0-635-23955-0,"Mandatory High-Level Alliance",Fantasy,3.45,yes,"Kyle King","Simon & Schuster"
978-0-643-16366-8,"Versatile Incremental Standardization",Fantasy,10.39,no,"Michael Jones",Knopf
978-0-661-62322-4,"Enterprise-Wide 3Rdgeneration Task-Force",Classic,5.99,no,"Tamara Miller","Random House"
978-0-686-24404-3,"Extended Reciprocal Database",Fiction,6.41,no,"Martin Frederick","Random House"
978-0-687-47268-7,"Cloned Client-Server Architecture","Literary Fiction",6.4,yes,"Megan Knight","Penguin Books"
978-0-695-72294-9,"Advanced Bifurcated Service-Desk",Mystery,5.71,yes,"Laurie Patrick","Simon & Schuster"
978-0-722-74679-3,"Phased Mission-Critical Utilization",History,7.89,no,"Anthony Hall",Vintage
978-0-734-57720-9,"Multi-Lateral Optimal Approach",History,5.21,yes,"Caitlin Perez",Knopf
978-0-736-29973-3,"Cloned Hybrid Circuit",Mystery,6.74,yes,"Melissa Osborne",Doubleday
978-0-737-83351-8,"Seamless Fresh-Thinking Firmware",Classic,4.07,yes,"Daniel Grimes",Knopf
978-0-745-89806-3,"Programmable Dedicated Standardization",Romance,3.58,yes,"Travis Myers",Knopf
978-0-775-35313-6,"Stand-Alone Asynchronous System Engine",Dystopia,4.79,yes,"Jillian Vargas",Macmillan
978-0-780-61181-4,"Compatible Tangible Collaboration",Mystery,9,no,"Michelle Peters",Doubleday
978-0-784-37102-8,"Mandatory Empowering Budgetary Management",Thriller,5.61,no,"Carl Johnson",Vintage
978-0-812-71564-9,"Streamlined Leadingedge Firmware",Fiction,11.86,no,"Brooke Lee",Doubleday
978-0-820-56095-9,"Function-Based 24/7 Projection",Biography,3.42,yes,"Ashley Gonzalez",Vintage
978-0-821-98857-8,"Innovative Zero Administration Focus Group",Thriller,9.44,yes,"Jennifer Thomas",Hachette
978-0-839-44522-8,"Polarized Regional Infrastructure",Thriller,3.79,yes,"Jessica Lindsey",Macmillan
978-0-847-66113-3,"Phased Next Generation Success",History,5.27,yes,"Tina Miller",Doubleday
978-0-853-34385-7,"Robust Modular Secured Line","Science Fiction",5.87,yes,"Miguel Owens",Macmillan
978-0-875-29231-2,"Multi-Layered Regional Framework","Literary Fiction",7.31,no,"Eric Hicks",Doubleday
978-0-878-67850-8,"Quality-Focused Bi-Directional Utilization",History,11.9,yes,"Adrienne Lawson","Simon & Schuster"
978-0-881-32962-7,"Cross-Group 3Rdgeneration Hardware","Science Fiction",8.52,yes,"Janet Lewis","Random House"
978-0-882-80972-0,"Diverse Zero Tolerance Matrices","Literary Fiction",5.71,yes,"Jennifer Larson",Vintage
978-0-884-66418-4,"Pre-Emptive Reciprocal Info-Mediaries",Biography,4.31,yes,"Bobby Hamilton",Knopf
978-0-892-32973-7,"Organic Multimedia Methodology","Literary Fiction",2.11,yes,"Jennifer Farmer","Simon & Schuster"
978-0-893-73472-6,"Monitored Asymmetric Product",Fiction,3.96,yes,"Nicholas Wilkerson",Knopf
978-0-902-41370-7,"Inverse Grid-Enabled System Engine",Fantasy,3.13,no,"Melissa Lee",Doubleday
978-0-902-88579-8,"Upgradable Asynchronous Leverage","Science Fiction",8.98,yes,"Brooke Clements","Penguin Books"
978-0-909-57124-8,"Face-To-Face Even-Keeled Adapter",Biography,8.38,yes,"Roberto Kramer",HarperCollins
978-0-943-90862-4,"User-Friendly Impactful Internet Solution","Science Fiction",2.41,yes,"Susan Christian",Macmillan
978-0-945-13718-1,"Up-Sized Scalable Knowledgebase",Fiction,11.49,yes,"Jennifer Wiggins","Simon & Schuster"
978-0-949-96275-6,"Reactive Local Archive",Children,2.08,yes,"Catherine Johnson",Doubleday
978-0-960-60738-8,"Fully-Configurable Global Functionalities",Fantasy,11.66,no,"Allen Collins",Doubleday
978-0-969-76476-0,"Enhanced Logistical Hardware",Biography,7.79,yes,"Brandon Smith","Penguin Books"
978-0-972-28139-2,"Synchronized Fresh-Thinking Product",Dystopia,5.58,no,"Jerry Ross",Doubleday
978-0-985-99417-0,"Stand-Alone Actuating Emulation","Literary Fiction",11.12,yes,"Stephanie Dennis",Doubleday
978-0-986-57059-0,"Universal Content-Based Support","Literary Fiction",3.37,no,"Alexandra Robinson",Knopf
978-0-987-93151-9,"Function-Based Methodical Workforce",Biography,11.44,yes,"Jennifer Wilson",Vintage
978-1-106-10946-2,"Triple-Buffered Maximized Service-Desk",Classic,9.07,yes,"Taylor Davis",Scholastic
978-1-126-37125-2,"Robust Asynchronous Standardization",Self-Help,4.92,yes,"Joshua Henry",Vintage
978-1-132-53309-1,"Cross-Group Non-Volatile Firmware","Science Fiction",4.38,no,"Timothy Ryan","Simon & Schuster"
978-1-144-40339-8,"Diverse Incremental Support",Fantasy,9.01,yes,"Brandon Reynolds",Vintage
978-1-162-62772-5,"Multi-Lateral Context-Sensitive Neural-Net",Thriller,10.62,yes,"Robert Franklin","Simon & Schuster"
978-1-184-45123-2,"Organized Upward-Trending Forecast",Fantasy,9.12,yes,"Lori Cummings",Scholastic
978-1-187-97574-5,"Total Intermediate Function",Thriller,7.41,yes,"Claudia Jackson",Knopf
978-1-193-24963-7,"Expanded Cohesive Success",Self-Help,5.63,no,"Daniel Estrada",Knopf
978-1-199-96364-3,"Total Heuristic Model",Fiction,5.41,yes,"Katrina Green",Knopf
978-1-238-19706-7,"Persistent Encompassing Adapter",Mystery,10.99,no,"Dillon Lane",HarperCollins
978-1-238-49932-0,"Seamless Demand-Driven Standardization",Fantasy,5.32,no,"Natalie Chase",Hachette
978-1-241-29769-3,"Vision-Oriented Dedicated Complexity",Fantasy,8.94,yes,"George Neal",HarperCollins
978-1-243-26142-9,"Exclusive Client-Server Frame",Romance,5.84,no,"Jennifer Stephenson",Hachette
978-1-249-43550-3,"Stand-Alone Client-Server Architecture",Mystery,8.02,yes,"Aimee Chang","Random House"
978-1-260-41439-2,"Sharable Well-Modulated Database","Science Fiction",2.75,yes,"Mary Smith",Scholastic
978-1-268-68925-7,"Organic Upward-Trending Toolset",Dystopia,6.07,yes,"Richard Bryant","Simon & Schuster"
978-1-285-97946-9,"Up-Sized Real-Time Toolset",Fiction,10.51,no,"John Olson",Knopf
978-1-289-28430-7,"Horizontal Fresh-Thinking Leverage",Dystopia,11.36,yes,"Michelle Bates",Macmillan
978-1-310-80484-6,"Up-Sized Tangible Installation",Self-Help,10.17,yes,"Mary Jackson","Random House"
978-1-321-78089-1,"Re-Engineered Responsive Conglomeration",Classic,9.25,no,"Brandy Liu","Simon & Schuster"
978-1-334-98381-9,"User-Friendly Secondary Graphic Interface",Biography,11.51,yes,"Diane Davis",Doubleday
978-1-340-80457-2,"Synergistic System-Worthy Project",Fantasy,6.54,no,"Sean Blackburn",Doubleday
978-1-342-64079-3,"Virtual Web-Enabled Algorithm",Fantasy,10.91,yes,"Caroline Thompson",Vintage
978-1-390-88419-8,"Optional Stable Parallelism",Fantasy,4.58,yes,"Anna Reeves","Penguin Books"
978-1-396-99899-4,"Innovative Client-Server Flexibility",Biography,2.87,no,"Charles Byrd",Scholastic
978-1-397-98039-1,"Enterprise-Wide Fault-Tolerant Throughput",Children,2.98,no,"Stephanie Jackson",Hachette
978-1-402-23256-8,"Reactive Exuding Hub",Thriller,7.4,yes,"Sarah Howard",Hachette
978-1-415-62096-7,"Universal Bifurcated Success","Literary Fiction",10.95,yes,"Alyssa Miller",HarperCollins
978-1-417-20357-8,"Total Bi-Directional Productivity",History,11.74,yes,"Kevin Hunt",Knopf
978-1-420-58177-4,"Programmable Tertiary Conglomeration",Mystery,5.83,yes,"John Schroeder","Random House"
978-1-441-71194-0,"Extended 5Thgeneration Parallelism",Classic,7.21,yes,"Kenneth Durham","Penguin Books"
978-1-444-49552-5,"Programmable Context-Sensitive Hub",Mystery,11.76,no,"Barry Simmons",Vintage
978-1-453-41604-1,"Extended Directional Framework",Thriller,7.82,yes,"Erika Singleton","Random House"
978-1-458-43640-1,"Progressive Dedicated Customer Loyalty",Romance,2.01,no,"Casey Duke",Vintage
978-1-458-82910-5,"Progressive System-Worthy Info-Mediaries",Classic,9.63,yes,"Monica Savage",Scholastic
978-1-459-99074-9,"Balanced 6Thgeneration Internet Solution",History,7.77,yes,"Michael West",Macmillan
978-1-469-42990-3,"Organic Dedicated Encoding",Romance,8.25,yes,"Christopher Mayo",Vintage
978-1-480-97098-2,"Reactive Fresh-Thinking Pricing Structure",Fiction,5.96,yes,"Jacob Mcintosh","Simon & Schuster"
978-1-482-77177-9,"Realigned Holistic Circuit",Fiction,10.45,yes,"Holly Salazar",Doubleday
978-1-483-39430-0,"Object-Based Bi-Directional Infrastructure",Dystopia,11.31,yes,"Jennifer Sanchez","Random House"
978-1-492-17051-1,"Distributed Disintermediate Forecast",Fantasy,5.92,no,"Mrs. Danielle Brewer MD",Doubleday
978-1-494-53634-8,"Programmable Mission-Critical Analyzer",Fiction,4.97,yes,"Thomas Martin",Doubleday
978-1-515-24022-5,"Visionary System-Worthy Encoding","Science Fiction",8.49,yes,"Karen Cannon",Knopf
978-1-515-59710-6,"Function-Based Explicit Budgetary Management","Science Fiction",6.76,yes,"Michael Morris","Random House"
978-1-526-33363-2,"Diverse Multi-State Firmware",Self-Help,4.84,yes,"Dalton Adams",Vintage
978-1-526-68237-6,"Front-Line Bottom-Line Implementation",Classic,7.47,no,"Amanda Duffy","Random House"
978-1-547-23875-3,"Versatile Intermediate Matrix",Fantasy,7.89,yes,"Christopher Garza",Scholastic
978-1-553-82132-1,"Upgradable Stable Strategy",Fiction,8.52,yes,"Carl Thompson",HarperCollins
978-1-562-69886-0,"User-Friendly 4Thgeneration Implementation",History,7.19,no,"Jessica Horn","Penguin Books"
978-1-567-90114-2,"Programmable 24/7 Array",Biography,2.64,yes,"Gabrielle Hall",HarperCollins
978-1-579-19869-2,"Universal Intermediate Functionalities",Thriller,11.67,no,"Heather Thomas",Knopf
978-1-579-49857-6,"Intuitive Exuding Conglomeration",Children,7,no,"Todd Zimmerman",Vintage
978-1-579-93744-0,"Enhanced System-Worthy Flexibility",Dystopia,7.58,no,"Scott Johnson",Hachette
978-1-581-12540-8,"Open-Architected Incremental Array",Fiction,12,yes,"Adam Robbins","Simon & Schuster"
978-1-602-68138-1,"Reactive Zero Tolerance Capacity",Classic,5.22,yes,"Patricia Jacobs",HarperCollins
978-1-608-28434-5,"Total High-Level Open Architecture",Romance,2.78,yes,"Jason White",Hachette
978-1-611-66873-5,"Streamlined Actuating Conglomeration",Biography,11.77,yes,"Angela Lewis",Knopf
978-1-629-42975-6,"Ameliorated Value-Added Collaboration",History,7.16,yes,"Cheryl Martinez",Hachette
978-1-633-97294-3,"User-Centric Maximized Open System","Literary Fiction",5.89,yes,"Elizabeth Clark",Hachette
978-1-636-29516-3,"User-Friendly 24/7 Firmware",History,8.2,yes,"Anthony Campbell",Hachette
978-1-640-11581-5,"Self-Enabling Neutral Capability",Dystopia,3.32,no,"Ashley Johns",Hachette
978-1-642-22541-9,"Enhanced Secondary Infrastructure",Dystopia,10.63,yes,"Lisa Harris",Vintage
978-1-643-76840-3,"Decentralized Transitional Website",Thriller,5.49,yes,"Jennifer Burns","Simon & Schuster"
978-1-643-83831-0,"Future-Proofed Optimal Analyzer",Biography,8.5,no,"Deanna Ramirez",Hachette
978-1-654-17897-1,"Switchable Coherent Website","Literary Fiction",2.32,no,"Rebecca Lopez","Random House"
978-1-657-39466-2,"Adaptive 5Thgeneration Forecast",Children,10.27,yes,"John Ruiz","Penguin Books"
978-1-660-22203-5,"Down-Sized Leadingedge Database",Biography,11.85,no,"Laura Friedman","Penguin Books"
978-1-662-47289-8,"Universal Tangible Challenge",Biography,5.48,yes,"Stephanie Harris","Simon & Schuster"
978-1-684-62402-9,"Enterprise-Wide Mission-Critical Projection",History,9.34,yes,"Brooke Smith",Vintage
978-1-685-42846-7,"Face-To-Face Content-Based Artificial Intelligence",Fiction,10.97,yes,"Lori Bowers","Penguin Books"
978-1-687-98686-8,"Public-Key Needs-Based Adapter",Fantasy,10.96,no,"Tyler Patton",Hachette
978-1-694-22527-8,"Reduced Background Installation",Mystery,8.37,no,"Daniel Conner",HarperCollins
978-1-696-96980-2,"Devolved Cohesive Contingency",Dystopia,5.1,no,"Sarah Beasley","Random House"
978-1-706-54150-4,"Monitored 4Thgeneration Artificial Intelligence",Classic,7.66,no,"Michael Cochran",Scholastic
978-1-709-18907-3,"Ergonomic Non-Volatile Access",Fantasy,3.2,yes,"Emma Miller",Doubleday
978-1-710-66959-5,"Phased Optimizing Policy",Romance,9.86,no,"Wendy Fitzpatrick",Doubleday
978-1-712-15224-6,"Triple-Buffered Multi-State Info-Mediaries",Romance,5.22,yes,"Catherine Williamson","Penguin Books"
978-1-713-57416-9,"Managed Bottom-Line Superstructure","Literary Fiction",7.66,yes,"Christopher Harris",Vintage
978-1-723-14948-6,"Open-Source 24Hour Policy",Fantasy,8.14,yes,"Elizabeth Brown",Doubleday
978-1-730-86917-3,"Expanded Hybrid Core",History,2.51,yes,"Kristen Campos","Simon & Schuster"
978-1-742-49478-5,"Total Background Array",Fantasy,2.05,yes,"Andrew Welch","Simon & Schuster"
978-1-778-37801-9,"Innovative Radical Product",Fiction,2.51,yes,"Kristina Morales","Simon & Schuster"
978-1-804-18585-4,"Triple-Buffered Hybrid Model",Classic,5.38,yes,"Julian Larson",Knopf
978-1-815-77922-7,"Proactive Bi-Directional Monitoring",Dystopia,8.89,yes,"Angela Michael","Simon & Schuster"
978-1-828-77621-1,"Intuitive Uniform Graphic Interface",Children,2.84,yes,"Christopher Price",Macmillan
978-1-858-16875-8,"Adaptive High-Level Time-Frame",Mystery,3.58,yes,"Christopher Howard",Vintage
978-1-859-32114-1,"Reduced System-Worthy Instruction Set",Dystopia,11.75,yes,"Kevin Taylor DDS","Simon & Schuster"
978-1-862-58843-2,"Open-Source Transitional Extranet","Science Fiction",2.6,yes,"Christine Arellano",HarperCollins
978-1-864-79531-3,"Implemented Leadingedge Ability",Fantasy,6.2,yes,"Laura Porter","Random House"
978-1-874-86756-0,"Organic Encompassing Leverage",Romance,10.48,yes,"Elijah Phillips",Knopf
978-1-876-66010-8,"Integrated 24Hour Instruction Set",Classic,4.93,yes,"Tyler Vargas",HarperCollins
978-1-890-69048-7,"Integrated Secondary Migration",Self-Help,7.89,yes,"Alexis Byrd",Vintage
978-1-891-51079-5,"Compatible Object-Oriented Process Improvement",Biography,9.37,yes,"Jeffrey Woods",Scholastic
978-1-891-62976-8,"Vision-Oriented Zero-Defect Task-Force",Fiction,8.58,no,"Theresa Chen",Scholastic
978-1-894-41056-3,"Re-Engineered Maximized Monitoring",Thriller,9.38,yes,"Carol Christian",Doubleday
978-1-898-77070-1,"Reactive Systemic Graphical User Interface",Romance,9.24,yes,"Nicole Clark","Simon & Schuster"
978-1-899-95426-0,"Open-Architected Eco-Centric Function",Thriller,2.31,yes,"Tamara Carpenter","Simon & Schuster"
978-1-901-26225-9,"Seamless Systematic Core",History,7.88,yes,"Joshua Barrera","Random House"
978-1-910-92863-9,"Multi-Lateral Heuristic Application",Fantasy,9.78,yes,"Mark Davis",Vintage
978-1-915-84177-0,"Reduced Cohesive Matrices",Dystopia,7.33,yes,"Kevin Lin",HarperCollins
978-1-922-71537-5,"Sharable National Intranet",History,5.71,no,"Kristine Butler","Penguin Books"
978-1-923-28322-1,"Compatible Methodical Middleware",Fiction,2.62,yes,"Daniel Burton PhD","Random House"
978-1-943-15992-4,"Synchronized Fresh-Thinking Toolset",Children,6.56,yes,"Claire Cuevas",Scholastic
978-1-961-72347-5,"Programmable Demand-Driven Ability",Mystery,2.13,no,"Kristina Taylor",HarperCollins
978-1-967-53456-1,"Re-Engineered Multi-Tasking Matrices",Fiction,11.42,yes,"Gary Chambers","Random House"
978-1-972-71018-7,"Integrated Motivating Forecast",Fantasy,3.71,yes,"John Navarro","Simon & Schuster"
978-1-978-30707-7,"De-Engineered Mission-Critical Approach","Literary Fiction",2.01,no,"Dennis Mcdowell","Simon & Schuster"
978-1-985-50407-5,"Enterprise-Wide Directional Groupware",Romance,2.32,no,"Steven Cobb",HarperCollins
978-1-990-39716-9,"Focused Mission-Critical Application",Fiction,8.34,no,"Jeffrey Jones","Penguin Books"
978-1-998-44237-2,"Universal Real-Time Portal",Biography,11.63,yes,"Dr. Jonathan Flores","Penguin Books"
978-1-998-70960-4,"Persevering Even-Keeled Time-Frame",Thriller,10.45,yes,"Daniel Roberson",HarperCollins
978-2-114-54185-4,"Configurable Context-Sensitive Policy",Biography,8.74,yes,"Ross Oliver","Random House"
978-2-119-92292-8,"Cross-Platform 3Rdgeneration Paradigm",Mystery,7.77,yes,"Jennifer Banks",Vintage
978-2-126-51795-9,"Re-Engineered Clear-Thinking Open System",History,2.29,yes,"William Reyes","Penguin Books"
978-2-126-90213-9,"Customizable 24/7 Protocol",Children,8.06,yes,"Rebecca Hernandez",Doubleday
978-2-139-47601-7,"Innovative Contextually-Based Utilization",Romance,10.31,no,"Amanda Miller",Vintage
978-2-140-81845-7,"Decentralized Bi-Directional Alliance",History,8.88,no,"Linda Rivera",Hachette
978-2-157-31802-4,"Devolved Explicit Application",Mystery,7.17,no,"Andrew Ramirez",Doubleday
978-2-161-47226-3,"Multi-Layered Coherent Hub",Thriller,8.97,yes,"Walter Matthews","Penguin Books"
978-2-168-40932-5,"Vision-Oriented Local Moderator",Dystopia,5.83,yes,"Dr. Sydney Gonzalez",Doubleday
978-2-180-89887-6,"Visionary Explicit Function",Biography,8.83,no,"Lauren Snyder",Doubleday
978-2-184-84107-0,"Profound Client-Server Solution",Thriller,9.61,yes,"John Carter","Penguin Books"
978-2-186-27985-6,"Customer-Focused Logistical Challenge","Literary Fiction",10.94,no,"Amanda Turner",Doubleday
978-2-222-11660-2,"Ameliorated Mobile Interface",Romance,2.11,no,"Victoria Alvarez",Hachette
978-2-231-96474-7,"Public-Key Empowering Moderator","Science Fiction",3.65,no,"Norman Garcia","Simon & Schuster"
978-2-233-80807-4,"Persevering 24/7 Artificial Intelligence",Thriller,3.74,yes,"Sonia Hunter","Random House"
978-2-234-79041-2,"Up-Sized Systematic Process Improvement",Fiction,2.35,yes,"Maria Torres",Hachette
978-2-237-11520-1,"Reverse-Engineered Transitional Workforce",Self-Help,2.16,no,"Alexander Hernandez",Scholastic
978-2-241-44732-5,"Visionary Holistic Paradigm",Biography,4.5,yes,"John Vasquez",Macmillan
978-2-263-97836-0,"Reverse-Engineered Heuristic Initiative",Fiction,8.45,yes,"Jacob Vasquez","Simon & Schuster"
978-2-282-14099-3,"Managed Upward-Trending Algorithm",Classic,6.85,yes,"Tonya Black","Penguin Books"
978-2-288-13027-2,"Synergistic Hybrid Hardware",Romance,4.35,yes,"Kimberly Conway",HarperCollins
978-2-292-82800-6,"Implemented 4Thgeneration Product",Dystopia,10.4,yes,"Alexander Jordan",Macmillan
978-2-296-38361-7,"Ergonomic Secondary Capacity",Children,9.25,yes,"James Moore",HarperCollins
978-2-300-53236-3,"Triple-Buffered Needs-Based Product",Fantasy,7.7,yes,"Travis Barker",Vintage
978-2-305-54914-6,"Balanced Zero Administration Groupware",Biography,10.93,no,"Kelly Nelson","Random House"
978-2-316-35260-2,"Stand-Alone 4Thgeneration Orchestration",Fiction,6.23,no,"Bobby Lopez","Simon & Schuster"
978-2-319-54791-7,"Business-Focused Content-Based Definition",History,4.27,yes,"Kimberly Davidson","Random House"
978-2-324-63840-9,"Stand-Alone Homogeneous Task-Force",Mystery,9.95,yes,"James Palmer",Doubleday
978-2-335-20104-8,"Phased Needs-Based Parallelism",Self-Help,4.81,yes,"James Taylor","Random House"
978-2-337-70443-4,"Mandatory 3Rdgeneration Array","Literary Fiction",4.55,yes,"Brianna Ward",Vintage
978-2-341-24671-9,"Pre-Emptive 5Thgeneration Internet Solution",Romance,7,yes,"Ellen Price",Knopf
978-2-342-31299-2,"Phased 24Hour Protocol",Fantasy,2.25,yes,"Sarah Perez",Scholastic
978-2-353-46302-1,"Up-Sized Executive Installation",History,7.53,yes,"Daniel Green","Penguin Books"
978-2-361-23487-9,"Expanded 3Rdgeneration Extranet",Self-Help,9.23,yes,"Paul Ryan",Knopf
978-2-378-46930-9,"Multi-Tiered Full-Range Adapter",History,9.18,yes,"Erika Mills",Macmillan
978-2-381-91830-9,"Innovative Tertiary Knowledge User","Science Fiction",9.12,no,"Nicholas Schwartz",Doubleday
978-2-382-24683-2,"Enhanced Discrete Circuit","Literary Fiction",3.5,yes,"Jacob Jones",Knopf
